ConferenceDate,ConferenceDuration,,,,,,,,
2014/1/3,1,,,,,,,,
EventTitle,EventDate,BeginningTime,EndingTime,EventVenue,,,,,
Web,2014/1/3,8:00AM,10:00AM,PG201,,,,,
PresentationTitle,PresentationBeginningtime,PresentationEndingtime,PresentationBiography,PresentationAbstract,SpeakerFirstname,SpeakerLastname,SpeakerPhoto,SpeakerAffliation,SpeakerType
XMLschema,8:00AM,8:30AM,XML ,XMLschema,Vicent,Ng,vicent.jpg,Polyu,Yes
Javascript,8:30AM,9:00AM,Javascript,Javascript,Laura,Cao,laura.jpg,polyu,no
Ajax,9:30AM,10:00AM,Ajax,Ajax,Amy,Li,amy.jpg,polyu,no
EventTitle,EventDate,BeginningTime,EndingTime,EventVenue,,,,,
Networking,2014/1/10,8:00AM,10:00AM,PG204,,,,,
PresentationTitle,PresentationBeginningtime,PresentationEndingtime,PresentationBiography,PresentationAbstract,SpeakerFirstname,SpeakerLastname,SpeakerPhoto,SpeakerAffliation,SpeakerType
HTTP,8:00AM,8:30AM,HTTP,HTTP,Lei,Yang,yanglei.jpg,Polyu,Yes
TCP,8:30AM,9:00AM,TCP,TCP,Paul,Zhuang,zhuang.jpg,polyu,no
FTP,9:30AM,10:00AM,FTP,FTP,Kevin,Li,kevin.jpg,polyu,no
